Date,Open,High,Low,Close,Volume
2011-04-08,8768340610.782005,9290285536.183132,8713569257.343395,9171076164.266666,0
2011-04-11,9158190689.550331,9486822565.513601,9127583241.033566,9403053943.466667,0
2011-04-12,9664025433.951502,10139252850.480186,9657581905.366081,9992657305.600000,0
2011-04-13,9788070600.057692,10100592353.145378,9680137116.345394,9913723562.666666,0
2011-04-14,10148917985.877691,10313233911.733402,9870225081.453337,9875058414.933332,0
2011-04-15,9949162708.826878,10108645324.101782,9596366888.396002,9688190156.799999,0
2011-04-18,10131197986.438250,10429221486.931179,10042596033.678654,10206911965.866667,0
2011-04-19,10261685018.111849,10339010114.559784,10047430120.648542,10081259793.066668,0
2011-04-20,9172687344.720730,9243568897.732512,8779618414.020592,8790895274.666666,0
2011-04-21,8633022373.402634,8916547651.992212,8599192709.939665,8807004023.466667,0
2011-04-25,8734513815.904461,8873054730.482874,8639468326.052889,8779620352.000000,0
2011-04-26,8703905688.903206,8747401110.248030,8322112647.814808,8372052514.133333,0
2011-04-27,8457430946.716629,8649132076.996214,8312445620.203205,8373661422.933333,0
2011-04-28,8438098960.308809,8676517713.475340,8351108136.003110,8510590702.933333,0
2011-04-29,8537979284.341284,8537979284.341284,8357554056.887190,8399438370.133333,0
2011-05-02,8291504199.878182,8699072222.365290,8291504199.878182,8647522167.466667,0
2011-05-03,8757066245.613840,9130803704.210197,8689406909.710896,8976153531.733334,0
2011-05-04,8848889779.840710,9275788420.601757,8732902605.026403,8948767675.733334,0
2011-05-05,9084089448.859217,9122751544.262760,8623360112.032692,8900441975.466667,0
2011-05-06,8583084469.720907,8794117114.108873,8392993520.437923,8703904972.799999,0
2011-05-09,8745790435.602783,8953601801.686026,8689407954.386953,8768343244.799999,0
2011-05-10,8747400357.847807,8795728192.320499,8565364048.354615,8653965994.666666,0
2011-05-11,8618523987.483370,9003538246.608698,8513812777.941404,8847276987.733334,0
2011-05-12,8971323014.303717,8997098048.507257,8401050038.883239,8484818670.933333,0
2011-05-13,8539589045.778213,8819892136.167336,8449376904.534587,8810227302.400000,0
2011-05-16,8887554874.436255,9206520138.479059,8610473012.292292,9179134907.733334,0
2011-05-17,9277401195.621021,9760683315.726770,9277401195.621021,9504544085.333334,0
2011-05-18,9401444563.734831,9422386264.880806,8876278093.269720,8982599543.466667,0
2011-05-19,9101809308.263409,9436884753.331734,9087310221.449253,9192021469.866667,0
2011-05-20,9159801561.423851,9423995394.445141,9129193197.261530,9269345211.733334,0
2011-05-23,9625362264.987926,9858947710.651628,9625362264.987926,9854115293.866667,0
2011-05-24,9736515713.220013,10086089195.866522,9667245277.746174,10073202141.866667,0
2011-05-25,10184360164.526037,10245575981.896139,9689801207.866938,9797734673.066668,0
2011-05-26,9829953227.053621,9931442246.647039,9462659239.572182,9520652834.133333,0
2011-05-27,9311229212.806231,9311229212.806231,9080865057.616539,9175910536.533333,0
2011-05-31,8879498492.182964,9029316273.822365,8769954830.033924,8774788164.266666,0
2011-06-01,8823114855.761782,9564147193.691530,8818282438.605701,9552870331.733334,0
2011-06-02,9499709125.265369,9681745444.888788,9279010719.201361,9556092518.400000,0
2011-06-03,9817063448.770672,10087701701.074379,9646304002.775255,10061926673.066668,0
2011-06-06,10115087120.848835,10310010469.906321,9963658269.293726,10292290082.133333,0
2011-06-07,10103812924.902508,10137642598.400000,9823509785.002483,10137642598.400000,0
2011-06-08,10274568511.633976,10851284770.463057,10274568511.633976,10751406899.200001,0
2011-06-09,10701467287.499195,10889947091.661669,10517820815.797203,10709522841.600000,0
2011-06-10,10854508029.855608,11450554925.745972,10769128314.594412,11239522304.000000,0
2011-06-13,11210527276.792702,11653536133.775171,11026880755.284142,11550436010.666666,0
2011-06-14,11141254258.849554,11202470057.405005,10698246420.322258,10899613286.400000,0
2011-06-15,11299127680.911608,11558489064.348103,11005936631.500387,11527880704.000000,0
2011-06-16,11502106825.433050,12217364131.885845,11447335459.856518,11943504554.666666,0
2011-06-17,11492441962.875212,12558884018.408060,11492441962.875212,12465449642.666666,0
2011-06-20,12430006611.158796,12576602135.319033,12238305476.830343,12401010278.400000,0
2011-06-21,12227026916.499098,12378454836.255396,11387727998.169865,11474717900.799999,0
2011-06-22,11534325129.176058,11722804958.281116,11308793412.085171,11635814126.933332,0
2011-06-23,12109431947.723463,12268914548.392363,11081652031.211510,11104205755.733334,0
2011-06-24,11250799525.525057,11978944770.799303,11221803191.128864,11927394713.600000,0
2011-06-27,11999885342.546499,12223805939.819241,11505327428.538570,11680919278.933332,0
2011-06-28,11539156318.466524,11637424000.150217,11210524527.539967,11220190276.266666,0
2011-06-29,11065541415.841896,11432835327.925955,10984994111.386395,11181529497.600000,0
2011-06-30,11075208069.442225,11080040486.538992,10258461763.121859,10355118353.066668,0
2011-07-01,10347065027.427551,10432444766.393673,9636640055.039278,9691412343.466667,0
2011-07-05,9694632998.058758,10065148233.143072,9622140329.010242,9949161062.400000,0
2011-07-06,10058702025.547377,10419552330.647242,10049036277.819408,10176301192.533333,0
2011-07-07,9850894698.988819,9979769859.740202,9383722814.043550,9559314705.066668,0
2011-07-08,9944328099.362223,10264904370.648144,9891166933.838804,9966880904.533333,0
2011-07-11,10282626547.274137,10587094510.479980,9912110351.660198,10498492552.533333,0
2011-07-12,10830342470.043417,11542378308.222921,10830342470.043417,11403837440.000000,0
